78,597,10,4,976,1665
36,239,4,2,354,635
2,16,2,2,93,115
23,61,3,2,118,207
2,3,0,2,10,17
24,245,6,2,430,707
49,328,3,2,695,1077
0,1,1,0,49,51
54,357,3,2,536,952
52,163,30,16,214,475
19,89,18,14,103,243
8,7,9,8,15,47
15,12,14,8,14,63
4,14,9,8,4,39
16,51,15,9,54,145
37,110,18,11,157,333
13,15,9,8,26,71
35,115,15,8,164,337
134,353,53,9,814,1363
48,101,10,1,202,362
0,17,12,0,49,78
42,24,14,1,132,213
3,15,10,1,32,61
45,105,17,2,199,368
77,225,45,9,578,934
0,0,11,0,41,52
88,247,38,7,621,1001
1112,2187,22,24,1607,4952
980,1604,16,16,1178,3794
5,13,16,12,111,157
134,415,16,16,521,1102
16,549,16,16,255,852
826,1391,16,16,1022,3271
192,431,7,11,315,956
0,0,0,0,4,4
291,805,14,16,593,1719
188,466,105,76,1512,2347
103,208,45,36,956,1348
2,7,25,2,45,81
54,43,36,18,233,384
4,11,23,10,22,70
78,163,56,38,502,837
117,188,53,35,442,835
3,3,25,10,161,202
112,304,50,38,1022,1526
214,457,4,2,400,1077
115,241,3,0,245,604
1,8,1,0,19,29
39,9,2,0,19,69
0,0,2,0,0,2
96,173,0,0,160,429
108,280,5,1,310,704
0,0,2,0,27,29
120,281,4,2,239,646
228,317,7,10,328,890
147,219,4,6,222,598
1,3,2,2,36,44
18,3,3,1,20,45
1,0,2,1,4,8
90,115,3,4,112,324
116,210,4,4,226,560
1,0,2,1,25,29
134,198,4,6,212,554
842,2370,51,21,7092,10376
578,1473,38,19,4206,6314
13,121,8,9,545,696
278,590,18,6,1264,2156
22,310,17,10,475,834
366,908,33,9,2563,3879
614,1294,32,13,3486,5439
2,1,4,5,304,316
477,1457,18,12,4523,6487
