15,84,2,3,159,263
18,97,2,3,153,273
2,12,2,2,45,63
16,37,2,1,84,140
6,1,2,1,35,45
1,1,2,1,3,8
38,109,2,2,211,362
0,0,0,1,22,23
35,118,2,0,177,332
41,123,2,2,220,388
9,20,3,6,34,72
9,20,6,6,35,76
3,2,3,3,8,19
10,7,3,5,12,37
6,0,4,4,9,23
1,1,3,1,3,9
22,31,6,6,49,114
2,0,3,3,8,16
29,39,3,6,47,124
29,44,3,6,63,145
39,79,3,4,134,259
37,73,2,5,123,240
0,17,0,2,59,78
32,12,1,4,53,102
10,3,4,4,30,51
1,1,3,2,3,10
57,105,5,12,185,364
0,0,0,2,26,28
55,104,3,6,177,345
55,104,6,12,186,363
57,92,30,44,138,361
66,92,28,35,147,368
1,5,1,22,25,54
41,31,16,32,64,184
25,0,24,37,34,120
1,1,14,23,3,42
64,95,30,43,160,392
3,1,4,22,36,66
74,103,31,45,191,444
65,95,30,43,177,410
41,85,0,0,81,207
54,102,0,2,111,269
1,4,0,2,13,20
19,6,0,3,10,38
5,0,0,0,5,10
1,1,0,0,3,5
59,101,0,2,111,273
0,0,0,2,12,14
62,118,0,2,132,314
64,108,0,2,122,296
34,48,1,3,47,133
49,64,4,3,71,191
1,1,1,2,19,24
3,3,1,3,13,23
12,0,1,3,5,21
1,1,1,4,3,10
41,51,1,2,62,157
1,0,1,2,8,12
51,68,3,4,66,192
43,57,1,2,67,170
151,374,6,21,784,1336
189,448,15,27,906,1585
8,73,5,9,321,416
141,198,7,11,458,815
107,10,8,10,283,418
1,1,9,0,3,14
260,485,8,20,941,1714
2,0,4,3,135,144
269,500,10,15,1123,1917
292,534,11,22,1142,2001
