63,513,3,0,904,1483
33,293,5,1,486,818
2,16,1,2,108,129
19,60,3,0,116,198
0,3,0,0,9,12
21,212,3,0,410,646
50,261,3,2,575,891
0,1,1,0,47,49
42,296,0,0,490,828
38,125,22,16,146,347
19,78,13,16,102,228
8,7,9,8,10,42
15,12,14,8,14,63
4,14,9,8,4,39
11,42,9,8,40,110
29,82,12,12,106,241
9,1,9,8,15,42
27,84,12,8,107,238
123,326,55,6,860,1370
50,104,11,0,203,368
0,16,12,0,49,77
42,25,14,1,134,216
3,15,10,1,33,62
45,97,19,2,184,347
71,209,42,6,627,955
0,0,11,0,43,54
78,231,38,5,683,1035
730,1452,28,28,1163,3401
852,1391,16,16,1044,3319
5,14,16,12,102,149
137,384,16,16,458,1011
17,547,16,16,263,859
509,926,16,16,689,2156
122,264,5,5,270,666
0,0,0,0,4,4
211,503,12,12,463,1201
130,358,89,43,1322,1942
71,161,37,22,885,1176
1,7,25,1,46,80
54,43,36,18,233,384
4,11,23,10,20,68
53,162,46,21,496,778
73,145,41,23,498,780
2,3,25,9,156,195
77,195,43,22,804,1141
207,458,7,2,403,1077
114,231,6,0,251,602
0,7,1,0,17,25
39,19,4,0,26,88
0,0,2,0,0,2
93,175,2,0,159,429
105,250,4,2,287,648
0,0,2,0,25,27
116,282,6,2,247,653
209,321,7,9,346,892
145,222,3,6,222,598
1,3,2,2,35,43
18,3,3,1,20,45
1,0,2,1,4,8
92,125,3,4,125,349
116,204,3,4,231,558
1,0,2,1,25,29
118,195,4,5,222,544
664,1729,32,16,6117,8558
449,1173,35,16,3796,5469
15,113,7,8,513,656
283,515,17,7,1195,2017
21,255,17,11,419,723
298,608,18,8,1974,2906
400,860,23,10,3126,4419
3,1,4,5,305,318
370,1122,14,8,4157,5671
