16,78,3,4,159,260
25,110,7,7,190,339
5,14,5,3,52,79
24,42,3,7,94,170
10,0,4,4,57,75
2,8,3,3,27,43
56,127,8,8,235,434
9,8,4,6,135,162
54,151,3,8,231,447
144,263,22,41,334,804
191,308,24,38,421,982
2,25,2,28,109,166
113,62,20,40,162,397
52,0,27,44,88,211
2,10,7,26,41,86
189,320,28,52,484,1073
51,13,18,41,291,414
220,393,30,57,575,1275
127,280,6,15,645,1073
182,406,11,22,867,1488
13,70,6,8,309,406
158,197,7,11,485,858
110,1,9,9,304,433
2,21,4,3,138,168
187,340,7,18,825,1377
67,16,5,4,374,466
236,473,9,14,1176,1908
