10204,3651,0,12940,26795
3014,11324,10779,869,25986
2971,2576,1165,450,7162
433,2068,0,0,2501
51,252,0,0,303
3394,49,0,10699,14142
3178,5,1,111,3295
2247,2100,0,1776,6123
6706,3594,0,1974,12274
6004,2926,6,10906,19842
3429,23572,21613,1338,49952
4104,3762,2244,642,10752
102,1156,0,0,1258
85,1018,0,0,1103
1860,34,0,7925,9819
1172,94,14,2531,3811
1797,928,0,688,3413
4156,2890,6,2857,9909
9372,3881,0,10919,24172
1143,6865,5841,989,14838
4096,3847,2607,482,11032
891,3220,0,0,4111
310,3184,0,0,3494
1900,32,0,7356,9288
2864,10,10,3586,6470
5934,5808,0,5326,17068
7508,3849,0,3560,14917
68242,22591,163,40543,131539
78764,80730,80730,392,240616
14537,12795,9223,590,37145
11755,15066,0,0,26821
12341,8524,0,0,20865
37099,0,0,39818,76917
5442,7479,5418,3711,22050
429,414,0,339,1182
32071,22591,163,1656,56481
12244,4187,8,16614,33053
4961,22037,21257,1020,49275
3928,3739,3052,218,10937
1210,3911,0,0,5121
212,2395,0,0,2607
3815,66,0,13591,17472
2141,107,103,3707,6058
11929,10563,0,10143,32635
8576,4122,8,3299,16005
4249,1702,3,2579,8533
1677,2704,2675,263,7319
1300,1254,514,343,3411
104,1032,0,0,1136
6,230,0,0,236
828,0,0,1730,2558
1767,7,7,1083,2864
4782,4730,0,4561,14073
3437,1702,3,872,6014
3881,1407,0,3503,8791
2072,3010,2861,682,8625
1376,1220,524,352,3472
81,315,0,0,396
5,63,0,0,68
965,3,0,2559,3527
1480,25,25,1159,2689
1089,1032,0,848,2969
2887,1404,0,886,5177
54781,19018,63,66830,140692
31242,107720,104686,8521,252169
37872,34433,20595,4724,97624
11933,32128,0,0,44061
6201,6542,0,0,12743
14373,51,0,53242,67666
14388,533,430,20070,35421
10648,9964,0,8822,29434
40162,18973,63,13248,72446
